Package,Type,Length,Width
SOT,223,6.5,3.5
SOT,323,2.15,1.25
SOT,343,2,1.25
SOT,353,2,1.25
SOT,363,2,1.25
SOT,23A,2.9,1.6
SOT,23,2.9,1.3
SOT,2369,2.9,1.3
SOT,25,2.9,1.6
SOT,26,2.9,1.6
SOT,89,4.5,2.5
YC,12,2,1
YC,16,3.2,1.6
YC,32,5.08,3.2
YC,15,3.2,1.6
YC,17,3.2,1.6
YC,35,6.4,3.2
YC,24,4,1.6
DO,213AA,3.5,1.6
DO,213AB,5,2.5
DO,214,5,2.5
DO,214AA,5.4,3.6
DO,214AB,8.2,2.5
DO,34,2.7,1.8
DO,35,3.7,1.8
DO,15,6.3,3.3
DO,27,8.9,5.2
DO,41,5.1,2.6
SOD,123,2.6,1.6
SOD,323,1.7,1.25
SOD,523,1.2,0.8
SOIC,18,7.5,11.55
SOIC,8,3.9,4.9
SOIC,14,3.9,8.65
SOIC,16,3.9,9.9
SOIC,20,7.5,12.8
SOL,18,7.5,11.55
SOL,8,3.9,4.9
SOL,14,3.9,8.65
SOL,16,3.9,9.9
SOL,20,7.5,12.8
MSOP,8,3,3
MSOP,10,3,3
SSOP,14,5.55,4.55
SSOP,16,5.55,5.2
SSOP,20,5.55,6.5
SSOP,24,5.55,7.8
SSOP,28,5.6,9.1
SSOP,48,7.8,15.255
SSOP,56,7.8,17.795
TSSOP,10,3.9,3.15
TSSOP,14,4.65,4.55
TSSOP,16,7.05,5.25
TSSOP,20,7.05,6.75
TSSOP,24,7.05,8.05
TSSOP,28,4.7,9.1
TSSOP,32,6.4,10.45
TSSOP,38,7.05,9.9
TSSOP,48,6.1,12.5
TSSOP,56,9.75,15.035
TSSOP,8,3.7,3.15
QFP,52,10,10
QFP,80,14,14
QFP,144,28,28
QFP,160,28,28
QFP,64,10,10
QFP,100,14,20
QFP,128,14,20
QFP,208,28,28
QFP,240,32,32
QFP,304,40,40
QFP,256,28,28
LQFP,64,10,10
LQFP,120,14,14
LQFP,128,14,14
LQFP,176,20,20
LQFP,216,24,24
LQFP,256,28,28
LQFP,48,7,7
LQFP,100,14,14
LQFP,160,24,24
LQFP,208,28,28
TQFP,100,14,14
TQFP,120,14,14
TQFP,128,14,14
TQFP,144,20,20
TQFP,176,20,20
TQFP,32,5,5
TQFP,40,5,5
TQFP,44,10,10
TQFP,48,7,7
TQFP,52,10,10
TQFP,64,7,7
TQFP,80,12,12
TQ,100,14,14
TQ,120,14,14
TQ,128,14,14
TQ,144,20,20
TQ,176,20,20
TQ,32,5,5
TQ,40,5,5
TQ,44,10,10
TQ,48,7,7
TQ,52,10,10
TQ,64,7,7
TQ,80,12,12
VQFP,44,10,10
VQFP,48,7,7
VQFP,64,10,10
VQFP,80,12,12
VQFP,100,14,14
VQFP,128,20,20
VQFP,144,20,20
VQFP,176,24,24
VQFP,208,28,28
VQ,44,10,10
VQ,48,7,7
VQ,64,10,10
VQ,80,12,12
VQ,100,14,14
VQ,128,20,20
VQ,144,20,20
VQ,176,24,24
VQ,208,28,28
MQFP,44,10,10
QFN,20,4,4
QFN,28,5,5
QFN,36,6,6
QFN,48,7,7
QFN,52,7,7
QFN,64,8,8
QFN,84,10,10
QFN,96,10,10
TO,252,6.55,6.75
TO,263,10,15
BGA,196,15,15
BGA,256,25,25
PBGA,196,15,15
PBGA,256,25,25
FBGA,48,7,7
FBGA,64,8,8
FBGA,80,9,9
FBGA,112,10,10
FBGA,144,11,11
FBGA,180,13,13
FBGA,192,13,13
FBGA,220,14,14
FBGA,456,23,23
FG,168,10,10
FG,256,17,17
FG,320,19,19
FG,400,21,21
FG,456,23,23
FG,484,23,23
FG,676,27,27
FG,900,31,31
FF,363,17,17
FF,668,27,27
FF,672,27,27
FF,1148,35,35
FF,1152,35,35
FF,1513,40,40
FF,1517,40,40
DIP,8,9.4,6.4
DIP,14,19.3,6.4
DIP,16,19.4,6.4
DIP,18,23.1,6.4
DIP,20,26.4,6.4
DIP,24,29.7,6.4
DIP,28,37.3,13.8
OSC,CXO7E,3.2,2.5
D-PAK,GDS,6.55,6.75
PLCC,20,9.04,9.04
PLCC,28,11.63,11.63
PLCC,32,11.51,11.51
PLCC,44,16.71,16.71
PLCC,52,19.2,19.2
PLCC,68,24.33,24.33
PLCC,84,29.36,29.36
PCIBUS,32,78.25,9
HEAD,10X2-2MM-180,10,2
TSOP,28,11.8,8.1
TSOP,32,12.4,8.1
TSOP,40,12.4,10.1
TSOP,44,10.16,18.4
TSOP,48,12,18.4
TSOP,54,14,18.4
TSOP,56,14,18.4
RC,1005,0.4,0.2
RC,201,0.6,0.3
RC,402,1,0.5
RC,603,1.6,0.8
RC,805,2,1.25
RC,1206,3.2,1.6
RC,1210,3.2,2.5
RC,1812,4.5,3.2
RC,2010,5,2.5
RC,2512,6.4,3.2
RC,2225,5.6,6.5
RC,3216,3.2,1.6
RC,3528,3.5,2.8
RC,5846,5.8,4.6
RC,6032,6,3.2
RC,7343,7.3,4.3
RC,7845,7.8,4.5
RC,508,1.25,2
RC,612,1.6,3.2
RC,3025,3,2.5
RC,405,1,1.25
LED,1005,0.4,0.2
LED,201,0.6,0.3
LED,402,1,0.5
LED,603,1.6,0.8
LED,805,2,1.25
LED,1206,3.2,1.6
LED,1210,3.2,2.5
LED,1812,4.5,3.2
LED,2010,5,2.5
LED,2512,6.4,3.2
LED,2225,5.6,6.5
LED,3216,3.2,1.6
LED,3528,3.5,2.8
LED,5846,5.8,4.6
LED,6032,6,3.2
LED,7343,7.3,4.3
LED,7845,7.8,4.5
LED,508,1.25,2
LED,612,1.6,3.2
LED,3025,3,2.5
LED,405,1,1.25
D,1005,0.4,0.2
D,201,0.6,0.3
D,402,1,0.5
D,603,1.6,0.8
D,805,2,1.25
D,1206,3.2,1.6
D,1210,3.2,2.5
D,1812,4.5,3.2
D,2010,5,2.5
D,2512,6.4,3.2
D,2225,5.6,6.5
D,3216,3.2,1.6
D,3528,3.5,2.8
D,5846,5.8,4.6
D,6032,6,3.2
D,7343,7.3,4.3
D,7845,7.8,4.5
D,508,1.25,2
D,612,1.6,3.2
D,3025,3,2.5
D,405,1,1.25
